"sicbl_vintage","sicbl_code","sicbl_nhs_code","sicbl_name","icb_code","icb_name","index","index_label","scale","avg_score","weight_pop","n_lsoa","mhclg_comparison_available"
2023,"E38000006","02P","NHS South Yorkshire ICB - 02P","E54000061","NHS South Yorkshire Integrated Care Board","income","Income","rate_0_1",0.279485,246448,148,TRUE
2023,"E38000007","99E","NHS Mid and South Essex ICB - 99E","E54000026","NHS Mid and South Essex Integrated Care Board","income","Income","rate_0_1",0.208151,266158,160,TRUE
2023,"E38000008","02Q","NHS Nottingham and Nottinghamshire ICB - 02Q","E54000060","NHS Nottingham and Nottinghamshire Integrated Care Board","income","Income","rate_0_1",0.218981,119985,69,TRUE
2023,"E38000014","00Q","NHS Lancashire and South Cumbria ICB - 00Q","E54000048","NHS Lancashire and South Cumbria Integrated Care Board","income","Income","rate_0_1",0.371564,155823,91,TRUE
2023,"E38000015","00R","NHS Lancashire and South Cumbria ICB - 00R","E54000048","NHS Lancashire and South Cumbria Integrated Care Board","income","Income","rate_0_1",0.376689,141648,94,TRUE
2023,"E38000016","00T","NHS Greater Manchester ICB - 00T","E54000057","NHS Greater Manchester Integrated Care Board","income","Income","rate_0_1",0.32851,299153,177,TRUE
2023,"E38000021","09D","NHS Sussex ICB - 09D","E54000064","NHS Sussex Integrated Care Board","income","Income","rate_0_1",0.21259,278370,165,TRUE
2023,"E38000024","00V","NHS Greater Manchester ICB - 00V","E54000057","NHS Greater Manchester Integrated Care Board","income","Income","rate_0_1",0.252412,194590,120,TRUE
2023,"E38000025","02T","NHS West Yorkshire ICB - 02T","E54000054","NHS West Yorkshire Integrated Care Board","income","Income","rate_0_1",0.263338,207660,129,TRUE
2023,"E38000028","04Y","NHS Staffordshire and Stoke-on-Trent ICB - 04Y","E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","income","Income","rate_0_1",0.20915,137724,84,TRUE
2023,"E38000030","99F","NHS Mid and South Essex ICB - 99F","E54000026","NHS Mid and South Essex Integrated Care Board","income","Income","rate_0_1",0.153674,176938,110,TRUE
2023,"E38000034","00X","NHS Lancashire and South Cumbria ICB - 00X","E54000048","NHS Lancashire and South Cumbria Integrated Care Board","income","Income","rate_0_1",0.176627,180486,107,TRUE
2023,"E38000044","02X","NHS South Yorkshire ICB - 02X","E54000061","NHS South Yorkshire Integrated Care Board","income","Income","rate_0_1",0.293264,310964,199,TRUE
2023,"E38000045","11J","NHS Dorset ICB - 11J","E54000041","NHS Dorset Integrated Care Board","income","Income","rate_0_1",0.181604,785932,463,TRUE
2023,"E38000049","06K","NHS Hertfordshire and West Essex ICB - 06K","E54000025","NHS Hertfordshire and West Essex Integrated Care Board","income","Income","rate_0_1",0.177125,574368,342,TRUE
2023,"E38000050","01A","NHS Lancashire and South Cumbria ICB - 01A","E54000048","NHS Lancashire and South Cumbria Integrated Care Board","income","Income","rate_0_1",0.290588,397304,244,TRUE
2023,"E38000051","03W","NHS Leicester, Leicestershire and Rutland ICB - 03W","E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","income","Income","rate_0_1",0.135936,350667,200,TRUE
2023,"E38000052","02Y","NHS Humber and North Yorkshire ICB - 02Y","E54000051","NHS Humber and North Yorkshire Integrated Care Board","income","Income","rate_0_1",0.167055,321763,199,TRUE
2023,"E38000053","05D","NHS Staffordshire and Stoke-on-Trent ICB - 05D","E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","income","Income","rate_0_1",0.20285,136573,78,TRUE
2023,"E38000062","11M","NHS Gloucestershire ICB - 11M","E54000043","NHS Gloucestershire Integrated Care Board","income","Income","rate_0_1",0.164122,652666,393,TRUE
2023,"E38000068","01F","NHS Cheshire and Merseyside ICB - 01F","E54000008","NHS Cheshire and Merseyside Integrated Care Board","income","Income","rate_0_1",0.293529,129008,80,TRUE
2023,"E38000079","06N","NHS Hertfordshire and West Essex ICB - 06N","E54000025","NHS Hertfordshire and West Essex Integrated Care Board","income","Income","rate_0_1",0.167346,610224,360,TRUE
2023,"E38000080","01D","NHS Greater Manchester ICB - 01D","E54000057","NHS Greater Manchester Integrated Care Board","income","Income","rate_0_1",0.345975,226950,135,TRUE
2023,"E38000085","03F","NHS Humber and North Yorkshire ICB - 03F","E54000051","NHS Humber and North Yorkshire Integrated Care Board","income","Income","rate_0_1",0.363211,268677,168,TRUE
2023,"E38000086","06L","NHS Suffolk and North East Essex ICB - 06L","E54000023","NHS Suffolk and North East Essex Integrated Care Board","income","Income","rate_0_1",0.179677,414577,240,TRUE
2023,"E38000089","11N","NHS Cornwall and the Isles of Scilly ICB - 11N","E54000036","NHS Cornwall and the Isles of Scilly Integrated Care Board","income","Income","rate_0_1",0.21905,577813,337,TRUE
2023,"E38000091","01J","NHS Cheshire and Merseyside ICB - 01J","E54000008","NHS Cheshire and Merseyside Integrated Care Board","income","Income","rate_0_1",0.342112,157107,100,TRUE
2023,"E38000097","04C","NHS Leicester, Leicestershire and Rutland ICB - 04C","E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","income","Income","rate_0_1",0.345281,372495,200,TRUE
2023,"E38000101","99A","NHS Cheshire and Merseyside ICB - 99A","E54000008","NHS Cheshire and Merseyside Integrated Care Board","income","Income","rate_0_1",0.342918,495849,302,TRUE
2023,"E38000106","06Q","NHS Mid and South Essex ICB - 06Q","E54000026","NHS Mid and South Essex Integrated Care Board","income","Income","rate_0_1",0.160181,408587,242,TRUE
2023,"E38000117","06T","NHS Suffolk and North East Essex ICB - 06T","E54000023","NHS Suffolk and North East Essex Integrated Care Board","income","Income","rate_0_1",0.221387,346048,206,TRUE
2023,"E38000119","03H","NHS Humber and North Yorkshire ICB - 03H","E54000051","NHS Humber and North Yorkshire Integrated Care Board","income","Income","rate_0_1",0.301305,157745,107,TRUE
2023,"E38000122","03K","NHS Humber and North Yorkshire ICB - 03K","E54000051","NHS Humber and North Yorkshire Integrated Care Board","income","Income","rate_0_1",0.233577,170085,103,TRUE
2023,"E38000126","05G","NHS Staffordshire and Stoke-on-Trent ICB - 05G","E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","income","Income","rate_0_1",0.173025,213258,134,TRUE
2023,"E38000127","99C","NHS North East and North Cumbria ICB - 99C","E54000050","NHS North East and North Cumbria Integrated Care Board","income","Income","rate_0_1",0.224886,210512,133,TRUE
2023,"E38000130","00L","NHS North East and North Cumbria ICB - 00L","E54000050","NHS North East and North Cumbria Integrated Care Board","income","Income","rate_0_1",0.207342,324286,200,TRUE
2023,"E38000135","00Y","NHS Greater Manchester ICB - 00Y","E54000057","NHS Greater Manchester Integrated Care Board","income","Income","rate_0_1",0.365355,243993,142,TRUE
